CODE_COMMUNE_INSEE,NOM_DE_LA_COMMUNE,FIRST__POSTAL,LIBELLE_D_ACHEMINEMENT,LIGNE_5,_GEOPOINT
49002,ALLONNES,49650,ALLONNES,Inconnu,473069328000810265
49002,ALLONNES,49650,Inconnu,Inconnu,Inconnu
49003,TUFFALUN,49700,TUFFALUN,AMBILLOU CHATEAU,4727049705032219575
49003,TUFFALUN,49700,TUFFALUN,LOUERRE,4727049705032219575
49003,TUFFALUN,49700,TUFFALUN,NOYANT LA PLAINE,4727049705032219575
49007,ANGERS,49000,ANGERS,Inconnu,474818960505629347499999999
49007,ANGERS,49100,ANGERS,Inconnu,474818960505629347499999999
49008,ANGRIE,49440,ANGRIE,Inconnu,475819468096774985
49009,ANTOIGNE,49260,ANTOIGNE,Inconnu,470792754501382129
49010,ARMAILLE,49420,ARMAILLE,Inconnu,47713490050000004114250375
49011,ARTANNES SUR THOUET,49260,ARTANNES SUR THOUET,Inconnu,47204157009776009999999999
49012,AUBIGNE SUR LAYON,49540,AUBIGNE SUR LAYON,Inconnu,4721268565047447385
49015,AVRILLE,49240,AVRILLE,Inconnu,47502706599999996060114205
49017,BARACE,49430,BARACE,Inconnu,47641562603563232
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,BAUGE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,BOCE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CHARTRENE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CHEVIRE LE ROUGE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CLEFS,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,CUON,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,ECHEMIRE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,FOUGERE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,LE GUEDENIAU,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,LE VIEIL BAUGE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,MONTPOLLIN,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,PONTIGNE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,ST MARTIN D ARCE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,ST QUENTIN LES BEAUREPAIRE,4755978775011425895
49018,BAUGE EN ANJOU,49150,BAUGE EN ANJOU,VAULANDRY,4755978775011425895
49020,BEAUCOUZE,49070,BEAUCOUZE,Inconnu,474741726063578325
49021,BEAUFORT EN ANJOU,49250,BEAUFORT EN ANJOU,BEAUFORT EN VALLEE,47437367449999996020629125
49021,BEAUFORT EN ANJOU,49250,BEAUFORT EN ANJOU,GEE,47437367449999996020629125
49022,BEAULIEU SUR LAYON,49750,BEAULIEU SUR LAYON,Inconnu,4731475645060369585
49023,BEAUPREAU EN MAUGES,49110,BEAUPREAU EN MAUGES,LE PIN EN MAUGES,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49450,BEAUPREAU EN MAUGES,VILLEDIEU LA BLOUERE,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49510,BEAUPREAU EN MAUGES,JALLAIS,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49510,BEAUPREAU EN MAUGES,LA JUBAUDIERE,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49510,BEAUPREAU EN MAUGES,LA POITEVINIERE,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49600,BEAUPREAU EN MAUGES,ANDREZE,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49600,BEAUPREAU EN MAUGES,BEAUPREAU,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49600,BEAUPREAU EN MAUGES,GESTE,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49600,BEAUPREAU EN MAUGES,LA CHAPELLE DU GENET,4720282140000000509844299999999999
49023,BEAUPREAU EN MAUGES,49600,BEAUPREAU EN MAUGES,ST PHILBERT EN MAUGES,4720282140000000509844299999999999
49026,BECON LES GRANITS,49370,BECON LES GRANITS,Inconnu,475044043508014590500000001
49027,BEGROLLES EN MAUGES,49122,BEGROLLES EN MAUGES,Inconnu,47133135909311111000000001
49028,BEHUARD,49170,BEHUARD,Inconnu,47379622606481467
49029,BLAISON ST SULPICE,49320,BLAISON ST SULPICE,BLAISON GOHIER,473784395038357365
49029,BLAISON ST SULPICE,49320,BLAISON ST SULPICE,GOHIER,473784395038357365
49029,BLAISON ST SULPICE,49320,BLAISON ST SULPICE,ST SULPICE,473784395038357365
49030,BLOU,49160,BLOU,Inconnu,473607025500534331
49035,BOUCHEMAINE,49080,BOUCHEMAINE,Inconnu,4742882405062412715
49036,BOUILLE MENARD,49520,BOUILLE MENARD,Inconnu,47740638109660572000000001
49038,BOURG L EVEQUE,49520,BOURG L EVEQUE,Inconnu,477327353101836895
49041,BRAIN SUR ALLONNES,49650,BRAIN SUR ALLONNES,Inconnu,4730411505007425625
49045,LA BREILLE LES PINS,49390,LA BREILLE LES PINS,Inconnu,47351481050000004008188770000000001
49048,BRIOLLAY,49125,BRIOLLAY,Inconnu,47575814704954407
49050,BRISSAC LOIRE AUBANCE,49250,BRISSAC LOIRE AUBANCE,ST REMY LA VARENNE,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,BRISSAC QUINCE,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,CHARCE ST ELLIER SUR AUBANCE,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,CHEMELLIER,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,COUTURES,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,LES ALLEUDS,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,LUIGNE,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,SAULGE L HOPITAL,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,ST ELLIER,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,ST SATURNIN SUR LOIRE,473392100504087213
49050,BRISSAC LOIRE AUBANCE,49320,BRISSAC LOIRE AUBANCE,VAUCHRETIEN,473392100504087213
49053,BROSSAY,49700,BROSSAY,Inconnu,47169848900000005021553129999999998
49054,CANDE,49440,CANDE,Inconnu,475596378510334747000000002
49055,CANTENAY EPINARD,49460,CANTENAY EPINARD,Inconnu,4753999105635202500000001
49056,CARBAY,49420,CARBAY,Inconnu,477307922512256512499999999
49057,CERNUSSON,49310,CERNUSSON,Inconnu,47168055300000006048489319999999997
49058,LES CERQUEUX,49360,LES CERQUEUX,Inconnu,47007997200000005063904585
49060,BELLEVIGNE LES CHATEAUX,49260,BELLEVIGNE LES CHATEAUX,BREZE,471780870500449151
49060,BELLEVIGNE LES CHATEAUX,49260,BELLEVIGNE LES CHATEAUX,ST CYR EN BOURG,471780870500449151
49060,BELLEVIGNE LES CHATEAUX,49400,BELLEVIGNE LES CHATEAUX,CHACE,471780870500449151
49061,CHALLAIN LA POTHERIE,49440,CHALLAIN LA POTHERIE,Inconnu,476309354108159425
49063,CHALONNES SUR LOIRE,49290,CHALONNES SUR LOIRE,Inconnu,473495568507728955
49064,CHAMBELLAY,49220,CHAMBELLAY,Inconnu,476901462069483635
49067,CHENILLE CHAMPTEUSSE,49220,CHENILLE CHAMPTEUSSE,CHAMPTEUSSE SUR BACONNE,476787290506585407999999999
49067,CHENILLE CHAMPTEUSSE,49220,CHENILLE CHAMPTEUSSE,CHENILLE CHANGE,476787290506585407999999999
49068,CHAMPTOCE SUR LOIRE,49123,CHAMPTOCE SUR LOIRE,Inconnu,474284116508716983
49069,OREE D ANJOU,49270,OREE D ANJOU,CHAMPTOCEAUX,47304249350000006121349745
49069,OREE D ANJOU,49270,OREE D ANJOU,LANDEMONT,47304249350000006121349745
49069,OREE D ANJOU,49270,OREE D ANJOU,LA VARENNE,47304249350000006121349745
49069,OREE D ANJOU,49270,OREE D ANJOU,ST CHRISTOPHE LA COUPERIE,47304249350000006121349745
49069,OREE D ANJOU,49270,OREE D ANJOU,ST LAURENT DES AUTELS,47304249350000006121349745
49069,OREE D ANJOU,49270,OREE D ANJOU,ST SAUVEUR DE LANDEMONT,47304249350000006121349745
49069,OREE D ANJOU,49530,OREE D ANJOU,BOUZILLE,47304249350000006121349745
49069,OREE D ANJOU,49530,OREE D ANJOU,DRAIN,47304249350000006121349745
49069,OREE D ANJOU,49530,OREE D ANJOU,LIRE,47304249350000006121349745
49070,CHANTELOUP LES BOIS,49340,CHANTELOUP LES BOIS,Inconnu,4708587195069111985
49076,LA CHAPELLE ST LAUD,49140,LA CHAPELLE ST LAUD,Inconnu,4761605095029489350000000003
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,BRISSARTHE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,CHAMPIGNE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,CHATEAUNEUF SUR SARTHE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,CHERRE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,CONTIGNE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,MARIGNE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,QUERRE,476970184000000050549833
49080,LES HAUTS D ANJOU,49330,LES HAUTS D ANJOU,SOEURDRES,476970184000000050549833
49082,CHAUDEFONDS SUR LAYON,49290,CHAUDEFONDS SUR LAYON,Inconnu,4732672615072836615
49086,TERRANJOU,49380,TERRANJOU,CHAVAGNES,472689764044303865
49086,TERRANJOU,49380,TERRANJOU,NOTRE DAME D ALLENCON,472689764044303865
49086,TERRANJOU,49540,TERRANJOU,MARTIGNE BRIAND,472689764044303865
49089,CHAZE SUR ARGOS,49500,CHAZE SUR ARGOS,Inconnu,4761114565089538485
49090,CHEFFES,49125,CHEFFES,Inconnu,476236038505126476
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,CHEMILLE MELAY,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,COSSE D ANJOU,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,LA CHAPELLE ROUSSELIN,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,LA JUMELLIERE,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,LA TOURLANDRY,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,LES GARDES,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,MELAY,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,NEUVY EN MAUGES,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,STE CHRISTINE,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,ST GEORGES DES GARDES,4722106925069643995
49092,CHEMILLE EN ANJOU,49120,CHEMILLE EN ANJOU,ST LEZIN,4722106925069643995
49092,CHEMILLE EN ANJOU,49310,CHEMILLE EN ANJOU,LA SALLE DE VIHIERS,4722106925069643995
49092,CHEMILLE EN ANJOU,49670,CHEMILLE EN ANJOU,JOUE ETIAU,4722106925069643995
49092,CHEMILLE EN ANJOU,49670,CHEMILLE EN ANJOU,VALANJOU,4722106925069643995
49092,CHEMILLE EN ANJOU,49750,CHEMILLE EN ANJOU,CHANZEAUX,4722106925069643995
49099,CHOLET,49300,CHOLET,Inconnu,47035842908749587
49099,CHOLET,49300,CHOLET,LE PUY ST BONNET,47035842908749587
49100,CIZAY LA MADELEINE,49700,CIZAY LA MADELEINE,Inconnu,47182599601834019
49102,CLERE SUR LAYON,49560,CLERE SUR LAYON,Inconnu,47082920599999994043628075
49107,CORNILLE LES CAVES,49140,CORNILLE LES CAVES,Inconnu,47492498850000004030562685
49109,CORON,49690,CORON,Inconnu,4712008206382852999999999
49110,CORZE,49140,CORZE,Inconnu,4754286550000000503697047
49112,LE COUDRAY MACOUARD,49260,LE COUDRAY MACOUARD,Inconnu,4718441465012978555
49113,COURCHAMPS,49260,COURCHAMPS,Inconnu,47195743050000004016046919999999998
49114,COURLEON,49390,COURLEON,Inconnu,473821789014906815
49120,DENEE,49190,DENEE,Inconnu,4737782855000000406109717
49121,DENEZE SOUS DOUE,49700,DENEZE SOUS DOUE,Inconnu,47252367802595571
49123,DISTRE,49400,DISTRE,Inconnu,472272679501217577
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,BRIGNE,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,CONCOURSON SUR LAYON,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,DOUE LA FONTAINE,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,FORGES,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,LES VERCHERS SUR LAYON,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,MEIGNE,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,MONTFORT,471987995030530295
49125,DOUE EN ANJOU,49700,DOUE EN ANJOU,ST GEORGES SUR LAYON,471987995030530295
49127,DURTAL,49430,DURTAL,Inconnu,476654049024565510000000002
49129,ECOUFLANT,49000,ECOUFLANT,Inconnu,4752402260518954
49130,ECUILLE,49460,ECUILLE,Inconnu,4761579925055587165
49131,EPIEDS,49260,EPIEDS,Inconnu,47136525250000005003351245
49132,ETRICHE,49330,ETRICHE,Inconnu,4765884325000000404536304
49135,FENEU,49460,FENEU,Inconnu,475831885060378155
49138,LES BOIS D ANJOU,49250,LES BOIS D ANJOU,BRION,47453584850169515
49138,LES BOIS D ANJOU,49250,LES BOIS D ANJOU,FONTAINE GUERIN,47453584850169515
49138,LES BOIS D ANJOU,49250,LES BOIS D ANJOU,ST GEORGES DU BOIS,47453584850169515
49140,FONTEVRAUD L ABBAYE,49590,FONTEVRAUD L ABBAYE,Inconnu,4718193240026061050000000002
49155,GREZ NEUVILLE,49220,GREZ NEUVILLE,Inconnu,47591551606863726
49160,INGRANDES LE FRESNE SUR LOIRE,49123,INGRANDES LE FRESNE SUR LOIRE,INGRANDES,47404798209287905999999999
49160,INGRANDES LE FRESNE SUR LOIRE,49123,INGRANDES LE FRESNE SUR LOIRE,LE FRESNE SUR LOIRE,47404798209287905999999999
49160,INGRANDES LE FRESNE SUR LOIRE,49123,INGRANDES LE FRESNE SUR LOIRE,ST SIGISMOND,47404798209287905999999999
49161,LA JAILLE YVON,49220,LA JAILLE YVON,Inconnu,47722602499999994068894945
49163,JARZE VILLAGES,49140,JARZE VILLAGES,BEAUVAU,475606506025634645
49163,JARZE VILLAGES,49140,JARZE VILLAGES,CHAUMONT D ANJOU,475606506025634645
49163,JARZE VILLAGES,49140,JARZE VILLAGES,JARZE,475606506025634645
49163,JARZE VILLAGES,49140,JARZE VILLAGES,LUE EN BAUGEOIS,475606506025634645
49167,LES GARENNES SUR LOIRE,49320,LES GARENNES SUR LOIRE,ST JEAN DES MAUVRETS,473850477047268645
49167,LES GARENNES SUR LOIRE,49610,LES GARENNES SUR LOIRE,JUIGNE SUR LOIRE,473850477047268645
49170,JUVARDEIL,49330,JUVARDEIL,Inconnu,4766107440000000405144954
49171,LA LANDE CHASLES,49150,LA LANDE CHASLES,Inconnu,47460719007017699999999999
49174,HUILLE LEZIGNE,49430,HUILLE LEZIGNE,HUILLE,4765122915029337979999999997
49174,HUILLE LEZIGNE,49430,HUILLE LEZIGNE,LEZIGNE,4765122915029337979999999997
49176,LE LION D ANGERS,49220,LE LION D ANGERS,Inconnu,476340072499999960751735
49176,LE LION D ANGERS,49220,LE LION D ANGERS,ANDIGNE,476340072499999960751735
49178,LOIRE,49440,LOIRE,Inconnu,4762694809678781000000001
49180,LONGUE JUMELLES,49160,LONGUE JUMELLES,Inconnu,47396052850000004010917415
49180,LONGUE JUMELLES,49160,LONGUE JUMELLES,JUMELLES,47396052850000004010917415
49182,LOURESSE ROCHEMENIER,49700,LOURESSE ROCHEMENIER,Inconnu,472494250503123483
49183,VAL D ERDRE AUXENCE,49370,VAL D ERDRE AUXENCE,LE LOUROUX BECONNAIS,475049110509373581
49183,VAL D ERDRE AUXENCE,49370,VAL D ERDRE AUXENCE,VILLEMOISAN,475049110509373581
49183,VAL D ERDRE AUXENCE,49440,VAL D ERDRE AUXENCE,LA CORNUAILLE,475049110509373581
49188,MARCE,49140,MARCE,Inconnu,4758253535029933535
49192,MAULEVRIER,49360,MAULEVRIER,Inconnu,4701594280000000507661803
49193,LE MAY SUR EVRE,49122,LE MAY SUR EVRE,Inconnu,47130358850875741
49194,MAZE MILON,49140,MAZE MILON,FONTAINE MILON,474712919502785338
49194,MAZE MILON,49630,MAZE MILON,MAZE,474712919502785338
49195,MAZIERES EN MAUGES,49280,MAZIERES EN MAUGES,Inconnu,4706058845079671685
49200,LONGUENEE EN ANJOU,49220,LONGUENEE EN ANJOU,PRUILLE,475523428067966465
49200,LONGUENEE EN ANJOU,49770,LONGUENEE EN ANJOU,LA MEIGNANNE,475523428067966465
49200,LONGUENEE EN ANJOU,49770,LONGUENEE EN ANJOU,LA MEMBROLLE SUR LONGUENEE,475523428067966465
49200,LONGUENEE EN ANJOU,49770,LONGUENEE EN ANJOU,LE PLESSIS MACE,475523428067966465
49201,LA MENITRE,49250,LA MENITRE,Inconnu,4740991835025652775
49205,MIRE,49330,MIRE,Inconnu,477642075049307315
49209,MONTIGNE LES RAIRIES,49430,MONTIGNE LES RAIRIES,Inconnu,4762682735021295005
49211,MONTILLIERS,49310,MONTILLIERS,Inconnu,4718043685051856275
49214,MONTREUIL JUIGNE,49460,MONTREUIL JUIGNE,Inconnu,475451250617814
49214,MONTREUIL JUIGNE,49460,MONTREUIL JUIGNE,JUIGNE BENE,475451250617814
49215,MONTREUIL BELLAY,49260,MONTREUIL BELLAY,Inconnu,4712949370124587
49215,MONTREUIL BELLAY,49260,MONTREUIL BELLAY,MERON,4712949370124587
